SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 09:00:09 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 09:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 11:02:04 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 11:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 11:07:08 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 12:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 11:12:13 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 12:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 11:40:07 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 12:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 12:25:50 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 12:30:54 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 12:35:59 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 13:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 12:41:03 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 13:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 12:56:18 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 13:01:22 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 13:06:27 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 14:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 13:11:31 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 14:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 13:16:36 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 14:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 13:21:40 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 14:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 13:26:45 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 14:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 15:15:53 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 16:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 15:20:57 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 16:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 15:31:06 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 16:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:21:53 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:26:57 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:32:02 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:37:06 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:42:11 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:47:15 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:52:20 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 16:57:24 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:02:29 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 17:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:05:07 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:10:12 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:15:16 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:20:21 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:25:25 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 17:30:30 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 18:25:00
